Surname;Given names;Nation;Flights;time_in_space;sex_or_genderLabel;birth;death;age
Phillips;John Lynch;USA;3;293362;male;15.4.1951;;
Kuipers;André;Netherlands;2;293270;male;5.10.1958;;
McClain;"Anne Charlotte ""Annimal""";USA;1;293236;female;7.6.1979;;
Saint-Jacques;David;Canada;1;293236;male;6.1.1970;;
Hague;"Tyler Nicklaus ""Nick""";USA;1;291825;male;24.9.1975;;
Voss;James Shelton;USA;5;291206;male;3.3.1949;;
Sharipov;Salizhan Shakirovich;USSR;2;290330;male;24.8.1964;;
Lonchakov;Yuri Valentinovich;Russia;3;289116;male;4.3.1965;;
Popov;Leonid Ivanovich;USSR;3;288884;male;31.8.1945;;
Cristoforetti;Samantha;Italy;1;287562;female;26.4.1977;;
Tokarev;Valeri Ivanovich;USSR;2;287465;male;29.10.1952;;
Chamitoff;Gregory Errol;USA;2;286200;male;6.8.1962;;
De Winne;Frank Luc;Belgium;2;286174;male;25.4.1961;;
Pesquet;Thomas Gautier;France;1;283310;male;27.2.1978;;
Auñón-Chancellor;Serena Maria;USA;1;283310;female;9.4.1976;;
Prokopyev;Sergei Valerievich;Russia;1;283310;male;19.2.1975;;
Swanson;"Steven Ray ""Swanny""";USA;3;282045;male;3.12.1960;;
Fossum;Michael Edward;USA;3;279061;male;19.12.1957;;
Kimbrough;Robert Shane;USA;2;272144;male;4.6.1967;;
Burbank;Daniel Christopher;USA;3;272027;male;27.7.1961;;
Caldwell-Dyson;Tracy Ellen;USA;2;271873;female;14.8.1969;;
Peake;Timothy Nigel;United Kingdom;1;267731;male;7.4.1972;;
Treshchov;Sergei Yevgeniyevich;Russia;1;266294;male;18.8.1958;;
Lazutkin;Aleksandr Ivanovich;Russia;1;266287;male;30.10.1957;;
Cassidy;"Christopher John ""Chris""";USA;2;262020;male;4.1.1970;;
Coleman;"Catherine Grace ""Cady""";USA;3;259438;female;14.12.1960;;
Nyberg;Karen Lujean;USA;2;259230;female;7.10.1969;;
Balandin;Aleksandr Nikolayevich;USSR;1;257837;male;30.7.1953;;
Poleshchuk;Aleksandr Fyodorovich;USSR;1;257803;male;30.10.1953;;
Kondakova;Yelena Vladimirovna;USSR;2;256961;female;30.3.1957;;
Wheelock;Douglas Harry;USA;2;256894;male;5.5.1960;;
Wilmore;"Barry Eugene ""Butch""";USA;2;256378;male;29.12.1962;;
Garan;Ronald John, Jr.;USA;2;256314;male;30.10.1961;;
Thomas;Andrew Sydney Withiel;USA;4;255432;male;18.12.1951;;
Noguchi;Soichi;Japan;2;255064;male;15.4.1965;;
Laveykin;Aleksandr Ivanovich;USSR;1;250765;male;21.4.1951;;
Ryzhikov;Sergei Nikolaevich;Russia;1;249315;male;19.8.1974;;
Wolf;"David Alexander ""Bluto""";USA;4;242455;male;23.8.1956;;
Kanai;Norishige;Japan;1;242238;male;5.12.1976;;
